lr,mape_mean,mape_std,rmse_mean,rmse_std,time_mean,epochs_mean
0.0001,0.9147566035175414,0.1054233827822327,0.7322268734898134,0.18236427197228733,1.2856582641601562,310.0
0.0003,0.7291495536090028,0.1575841871204385,0.5964868881538156,0.12340632354112764,0.7626993179321289,195.0
0.001,0.6266918592306211,0.08530234053114566,0.505511143211131,0.11767161627100586,0.5636336803436279,147.8
0.003,0.7047043660660822,0.1551602649074471,0.5963575920263089,0.23246981645132558,0.2897225856781006,75.4
0.01,0.9226493479058056,0.13294366388083845,0.8103093305987107,0.12558439495764054,0.2062459945678711,50.6
